Mineprep:0.5 | 时间戳1789889184.6354427,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀台阶,purpur_slab,紫珀半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀台阶 [顶部],purpur_slab_top,紫珀半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀楼梯,purpur_stairs,紫珀樓梯 (紫珀階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀楼梯 [内角],purpur_stairs_inner,紫珀樓梯 (紫珀階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀楼梯 [外角],purpur_stairs_outer,紫珀樓梯 (紫珀階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,石英块,quartz_block,石英磚 (石英方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英砖,quartz_bricks,磚紋石英磚 (石英磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,石英柱,quartz_pillar,石英柱,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,石英柱 [水平],quartz_pillar_horizontal,石英柱 [水平],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英台阶,quartz_slab,石英半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英台阶 [顶部],quartz_slab_top,石英半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英楼梯,quartz_stairs,石英樓梯 (石英階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英楼梯 [内角],quartz_stairs_inner,石英樓梯 (石英階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英楼梯 [外角],quartz_stairs_outer,石英樓梯 (石英階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,铁轨,rail,路軌 (鐵軌),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,铁轨 [转角],rail_corner,路軌 (鐵軌) [轉角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,铁轨 [弯曲],rail_curved,路軌 (鐵軌) [彎曲],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,铁轨 [平坦],rail_flat,路軌 (鐵軌) [平坦],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,铁轨 [东北抬高],rail_raised_ne,路軌 (鐵軌) [東北抬高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,铁轨 [西南抬高],rail_raised_sw,路軌 (鐵軌) [西南抬高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,粗铜块,raw_copper_block,粗銅磚 (銅原礦方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,粗金块,raw_gold_block,粗金磚 (金原礦方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,粗铁块,raw_iron_block,粗鐵磚 (鐵原礦方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色床 [尾],red_bed_foot,紅色牀 (紅色床) [尾],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色床 [头],red_bed_head,紅色牀 (紅色床) [頭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上红色蜡烛的蛋糕,red_candle_cake,插上紅色蠟燭的蛋糕,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上红色蜡烛的蛋糕 [点燃],red_candle_cake_lit,插上紅色蠟燭的蛋糕 [點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [四支蜡烛],red_candle_four_candles,紅色蠟燭 [四支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [四支蜡烛点燃],red_candle_four_candles_lit,紅色蠟燭 [四支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [一支蜡烛],red_candle_one_candle,紅色蠟燭 [一支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [一支蜡烛点燃],red_candle_one_candle_lit,紅色蠟燭 [一支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [三支蜡烛],red_candle_three_candles,紅色蠟燭 [三支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [三支蜡烛点燃],red_candle_three_candles_lit,紅色蠟燭 [三支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [两支蜡烛],red_candle_two_candles,紅色蠟燭 [兩支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红色蜡烛 [两支蜡烛点燃],red_candle_two_candles_lit,紅色蠟燭 [兩支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色地毯,red_carpet,紅色地氈 (紅色地毯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色混凝土,red_concrete,紅色混凝土,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色混凝土粉末,red_concrete_powder,紅色混凝土粉末,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色带釉陶瓦,red_glazed_terracotta,紅色釉陶,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红色蘑菇,red_mushroom,紅色蘑菇,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红色蘑菇方块,red_mushroom_block,紅色蘑菇方塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红色蘑菇方块 [物品栏],red_mushroom_block_inventory,紅色蘑菇方塊 [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖台阶,red_nether_brick_slab,紅色地獄磚半磚 (紅地獄磚半磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖台阶 [顶部],red_nether_brick_slab_top,紅色地獄磚半磚 (紅地獄磚半磚) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖楼梯,red_nether_brick_stairs,紅色地獄磚樓梯 (紅地獄磚階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖楼梯 [内角],red_nether_brick_stairs_inner,紅色地獄磚樓梯 (紅地獄磚階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖楼梯 [外角],red_nether_brick_stairs_outer,紅色地獄磚樓梯 (紅地獄磚階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖墙 [物品栏],red_nether_brick_wall_inventory,紅色地獄磚牆 (紅地獄磚牆) [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖墙 [柱],red_nether_brick_wall_post,紅色地獄磚牆 (紅地獄磚牆) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖墙 [边],red_nether_brick_wall_side,紅色地獄磚牆 (紅地獄磚牆) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖墙 [边高],red_nether_brick_wall_side_tall,紅色地獄磚牆 (紅地獄磚牆) [邊高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖块,red_nether_bricks,紅色地獄磚 (紅地獄磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红沙,red_sand,紅沙,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红砂岩,red_sandstone,紅砂巖 (紅砂岩),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩台阶,red_sandstone_slab,紅砂巖半磚 (紅砂岩半磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩台阶 [顶部],red_sandstone_slab_top,紅砂巖半磚 (紅砂岩半磚) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩楼梯,red_sandstone_stairs,紅砂巖樓梯 (紅砂岩階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩楼梯 [内角],red_sandstone_stairs_inner,紅砂巖樓梯 (紅砂岩階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩楼梯 [外角],red_sandstone_stairs_outer,紅砂巖樓梯 (紅砂岩階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩墙 [物品栏],red_sandstone_wall_inventory,紅砂巖牆 (紅砂岩牆) [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩墙 [柱],red_sandstone_wall_post,紅砂巖牆 (紅砂岩牆) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩墙 [边],red_sandstone_wall_side,紅砂巖牆 (紅砂岩牆) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红砂岩墙 [边高],red_sandstone_wall_side_tall,紅砂巖牆 (紅砂岩牆) [邊高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟨,红色潜影盒,red_shulker_box,紅色界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色染色玻璃,red_stained_glass,紅色染色玻璃 (紅色玻璃),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色染色玻璃板 [无边],red_stained_glass_pane_noside,紅色染色玻璃片 (紅色玻璃片) [無邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色染色玻璃板 [无边交替],red_stained_glass_pane_noside_alt,紅色染色玻璃片 (紅色玻璃片) [無邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色染色玻璃板 [柱],red_stained_glass_pane_post,紅色染色玻璃片 (紅色玻璃片) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色染色玻璃板 [边],red_stained_glass_pane_side,紅色染色玻璃片 (紅色玻璃片) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色染色玻璃板 [边交替],red_stained_glass_pane_side_alt,紅色染色玻璃片 (紅色玻璃片) [邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色陶瓦,red_terracotta,紅色陶瓦 (紅色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红色郁金香,red_tulip,紅色鬱金香,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色羊毛,red_wool,紅色羊毛,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石块,redstone_block,紅石磚 (紅石方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石点],redstone_dust_dot,紅石粉 [紅石點],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石边],redstone_dust_side,紅石粉 [紅石邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石边0],redstone_dust_side0,紅石粉 [紅石邊0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石边1],redstone_dust_side1,紅石粉 [紅石邊1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石边交替],redstone_dust_side_alt,紅石粉 [紅石邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石边交替0],redstone_dust_side_alt0,紅石粉 [紅石邊alt0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石边交替1],redstone_dust_side_alt1,紅石粉 [紅石邊alt1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石粉 [红石向上],redstone_dust_up,紅石粉 [紅石向上],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红石灯,redstone_lamp,紅石燈,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红石灯 [开启],redstone_lamp_on,紅石燈 [開啟],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石矿石,redstone_ore,紅石礦,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红石火把,redstone_torch,紅石火炬 (紅石火把),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,红石火把 [关闭],redstone_torch_off,紅石火炬 (紅石火把) [關閉],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,墙上的红石火把,redstone_wall_torch,牆上的紅石火炬 (牆上的紅石火把),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,墙上的红石火把 [关闭],redstone_wall_torch_off,牆上的紅石火炬 (牆上的紅石火把) [關閉],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,强化深板岩,reinforced_deepslate,強化深板巖 (強化深板岩),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [1刻],repeater_1tick,紅石中繼器 [1刻],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [1刻锁定],repeater_1tick_locked,紅石中繼器 [1刻鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [1刻开启],repeater_1tick_on,紅石中繼器 [1刻開啟],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [1刻开启锁定],repeater_1tick_on_locked,紅石中繼器 [1刻開啟鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [2刻],repeater_2tick,紅石中繼器 [2刻],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [2刻锁定],repeater_2tick_locked,紅石中繼器 [2刻鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [2刻开启],repeater_2tick_on,紅石中繼器 [2刻開啟],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [2刻开启锁定],repeater_2tick_on_locked,紅石中繼器 [2刻開啟鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [3刻],repeater_3tick,紅石中繼器 [3刻],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [3刻锁定],repeater_3tick_locked,紅石中繼器 [3刻鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [3刻开启],repeater_3tick_on,紅石中繼器 [3刻開啟],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [3刻开启锁定],repeater_3tick_on_locked,紅石中繼器 [3刻開啟鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [4刻],repeater_4tick,紅石中繼器 [4刻],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [4刻锁定],repeater_4tick_locked,紅石中繼器 [4刻鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [4刻开启],repeater_4tick_on,紅石中繼器 [4刻開啟],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红石中继器 [4刻开启锁定],repeater_4tick_on_locked,紅石中繼器 [4刻開啟鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,循环型命令方块,repeating_command_block,重複型命令方塊 (重複型指令方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,循环型命令方块 [条件],repeating_command_block_conditional,重複型命令方塊 (重複型指令方塊) [條件],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,树脂块,resin_block,樹脂塊 (樹脂方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖台阶,resin_brick_slab,樹脂磚半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖台阶 [顶部],resin_brick_slab_top,樹脂磚半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖楼梯,resin_brick_stairs,樹脂磚樓梯 (樹脂磚階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖楼梯 [内角],resin_brick_stairs_inner,樹脂磚樓梯 (樹脂磚階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖楼梯 [外角],resin_brick_stairs_outer,樹脂磚樓梯 (樹脂磚階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖墙 [物品栏],resin_brick_wall_inventory,樹脂磚牆 [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖墙 [柱],resin_brick_wall_post,樹脂磚牆 [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖墙 [边],resin_brick_wall_side,樹脂磚牆 [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖墙 [边高],resin_brick_wall_side_tall,樹脂磚牆 [邊高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,树脂砖块,resin_bricks,樹脂磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,树脂团,resin_clump,樹脂團,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,重生锚 [0],respawn_anchor_0,重生錨 [0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,重生锚 [1],respawn_anchor_1,重生錨 [1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,重生锚 [2],respawn_anchor_2,重生錨 [2],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,重生锚 [3],respawn_anchor_3,重生錨 [3],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,重生锚 [4],respawn_anchor_4,重生錨 [4],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,缠根泥土,rooted_dirt,扎根泥 (扎根土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,玫瑰丛 [底部],rose_bush_bottom,玫瑰叢 [底部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,玫瑰丛 [顶部],rose_bush_top,玫瑰叢 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,沙子,sand,沙,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,砂岩,sandstone,砂巖 (砂岩),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩台阶,sandstone_slab,砂巖半磚 (砂岩半磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩台阶 [顶部],sandstone_slab_top,砂巖半磚 (砂岩半磚) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩楼梯,sandstone_stairs,砂巖樓梯 (砂岩階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩楼梯 [内角],sandstone_stairs_inner,砂巖樓梯 (砂岩階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩楼梯 [外角],sandstone_stairs_outer,砂巖樓梯 (砂岩階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩墙 [物品栏],sandstone_wall_inventory,砂巖牆 (砂岩牆) [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩墙 [柱],sandstone_wall_post,砂巖牆 (砂岩牆) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩墙 [边],sandstone_wall_side,砂巖牆 (砂岩牆) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,砂岩墙 [边高],sandstone_wall_side_tall,砂巖牆 (砂岩牆) [邊高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,脚手架 [stable],scaffolding_stable,棚架 (鷹架) [stable],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,脚手架 [unstable],scaffolding_unstable,棚架 (鷹架) [unstable],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿块,sculk,沉靈方塊 (伏聆),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿催发体,sculk_catalyst,沉靈催發器 (伏聆觸媒),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,幽匿催发体 [bloom],sculk_catalyst_bloom,沉靈催發器 (伏聆觸媒) [bloom],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿块 [mirrored],sculk_mirrored,沉靈方塊 (伏聆) [mirrored],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿感测体,sculk_sensor,沉靈傳感器 (伏聆振測器),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿感测体 [激活],sculk_sensor_active,沉靈傳感器 (伏聆振測器) [啟用],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿感测体 [未激活],sculk_sensor_inactive,沉靈傳感器 (伏聆振測器) [未啟用],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿尖啸体,sculk_shrieker,沉靈尖嘯器 (伏聆嘯口),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿尖啸体 [cansummon],sculk_shrieker_can_summon,沉靈尖嘯器 (伏聆嘯口) [cansummon],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿脉络,sculk_vein,沉靈脈絡 (伏聆脈絡),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊💡,海晶灯,sea_lantern,海燈籠,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊💡,海泡菜,sea_pickle,海鞘,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊,海草,seagrass,海草,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,矮枯草丛,short_dry_grass,矮枯草,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,矮草丛,short_grass,矮草叢 (矮草),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥💡,菌光体,shroomlight,菌光體 (蕈光體),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟨,潜影盒,shulker_box,界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,头颅（父模型）,skull,頭顱（父模型）,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,台阶（父模型）,slab,半磚（父模型）,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,台阶（父模型） [顶部],slab_top,半磚（父模型） [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊,轻微破裂海龟蛋,slightly_cracked_turtle_egg,輕微破裂海龜蛋,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,黏液块,slime_block,史萊姆方塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,小型紫晶芽,small_amethyst_bud,小型紫水晶芽,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,小型垂滴叶 [底部],small_dripleaf_bottom,細懸葉草 (小懸葉草) [底部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,小型垂滴叶 [顶部],small_dripleaf_top,細懸葉草 (小懸葉草) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,锻造台,smithing_table,鍛造台,,,,,,,
